eeacellcode	specieskey	species	datasetkey	countrycode	basisofrecord	COUNT(*)
10kmE265N192	3048831	Cakile maritima	8a863029-f435-446a-821e-275f4f641165	PT	HUMAN_OBSERVATION	1
10kmE383N314	3048831	Cakile maritima	940821c0-3269-11df-855a-b8a03c50a862	BE	HUMAN_OBSERVATION	1
10kmE386N316	3048831	Cakile maritima	271c444f-f8d8-4986-b748-e7367755c0c1	BE	HUMAN_OBSERVATION	3
10kmE387N318	3048831	Cakile maritima	50c9509d-22c7-4a22-a47d-8c48425ef4a7	NL	HUMAN_OBSERVATION	2
10kmE390N320	3048831	Cakile maritima	50c9509d-22c7-4a22-a47d-8c48425ef4a7	NL	HUMAN_OBSERVATION	8
10kmE388N312	3048831	Cakile maritima	271c444f-f8d8-4986-b748-e7367755c0c1	BE	HUMAN_OBSERVATION	9
10kmE585N265	3048831	Cakile maritima	50c9509d-22c7-4a22-a47d-8c48425ef4a7	RO	HUMAN_OBSERVATION	1
	3048831	Cakile maritima	7e380070-f762-11e1-a439-00145eb45e9a	PT	PRESERVED_SPECIMEN	1
10kmE269N210	3048831	Cakile maritima	50c9509d-22c7-4a22-a47d-8c48425ef4a7	PT	HUMAN_OBSERVATION	1
10kmE273N214	3048831	Cakile maritima	7fe3eb5c-42bd-49d7-a30b-82c353ef6575	PT	HUMAN_OBSERVATION	1
10kmE387N318	3048831	Cakile maritima	8a863029-f435-446a-821e-275f4f641165	NL	HUMAN_OBSERVATION	125
10kmE390N320	3048831	Cakile maritima	8a863029-f435-446a-821e-275f4f641165	NL	HUMAN_OBSERVATION	815
10kmE266N182	3048831	Cakile maritima	ceff8c75-950b-4405-a116-60247d1adacb	PT	PRESERVED_SPECIMEN	1
10kmE276N221	3048831	Cakile maritima	7fe3eb5c-42bd-49d7-a30b-82c353ef6575	PT	HUMAN_OBSERVATION	2
10kmE389N314	3048831	Cakile maritima	8a863029-f435-446a-821e-275f4f641165	NL	HUMAN_OBSERVATION	14
10kmE621N178	3048831	Cakile maritima	8a863029-f435-446a-821e-275f4f641165	TR	HUMAN_OBSERVATION	1
10kmE636N244	3048831	Cakile maritima	834a4794-f762-11e1-a439-00145eb45e9a	TR	PRESERVED_SPECIMEN	1
10kmE384N313	3048831	Cakile maritima	271c444f-f8d8-4986-b748-e7367755c0c1	BE	HUMAN_OBSERVATION	1
10kmE388N312	3048831	Cakile maritima	b740eaa0-0679-41dc-acb7-990d562dfa37	BE	PRESERVED_SPECIMEN	2
10kmE605N168	3048831	Cakile maritima	50c9509d-22c7-4a22-a47d-8c48425ef4a7	TR	HUMAN_OBSERVATION	2
10kmE268N192	3048831	Cakile maritima	835ac57e-f762-11e1-a439-00145eb45e9a	PT	PRESERVED_SPECIMEN	1
10kmE401N337	3048831	Cakile maritima	7a3679ef-5582-4aaa-81f0-8c2545cafc81	NL	HUMAN_OBSERVATION	3
10kmE591N218	3048831	Cakile maritima	14d5676a-2c54-4f94-9023-1e8dcd822aa0	TR	HUMAN_OBSERVATION	1
10kmE263N196	3048831	Cakile maritima	7f5260c2-f762-11e1-a439-00145eb45e9a	PT	PRESERVED_SPECIMEN	1
10kmE267N192	3048831	Cakile maritima	4cf3eec1-b902-40c9-b15b-05c5fe5928b6	PT	HUMAN_OBSERVATION	1
10kmE385N315	3048831	Cakile maritima	8a863029-f435-446a-821e-275f4f641165	NL	HUMAN_OBSERVATION	75
10kmE394N325	3048831	Cakile maritima	7a3679ef-5582-4aaa-81f0-8c2545cafc81	NL	HUMAN_OBSERVATION	1
10kmE395N328	3048831	Cakile maritima	14d5676a-2c54-4f94-9023-1e8dcd822aa0	NL	HUMAN_OBSERVATION	14
